,지자체,시장명,상인회 조직형태,상인회 가입점포 수 - 점포수,점포수,상인회_가입률
903,전북완주군,봉동시장,법적단체,33,33,1
904,전북완주군,삼례시장,법적단체,60,60,1
905,전북익산시,매일시장,법적단체,56,57,0.98245614
906,전북익산시,북부시장,법적단체,156,168,0.928571429
907,전북익산시,서동시장,법적단체,60,62,0.967741935
908,전북익산시,익산 구시장,법적단체,75,91,0.824175824
909,전북익산시,익산금마시장,법적단체,20,40,0.5
910,전북익산시,익산남부시장,법적단체,44,55,0.8
911,전북익산시,익산장(익산북부장),법적단체,110,250,0.44
912,전북익산시,중앙시장,법적단체,80,137,0.583941606
913,전북익산시,함열시장,법적단체,18,23,0.782608696
914,전북익산시,황등시장,법적단체,50,55,0.909090909
915,전북임실군,강진시장,임의단체,4,23,0.173913043
916,전북임실군,관촌시장,법적단체,14,34,0.411764706
917,전북임실군,오수시장,법적단체,10,19,0.526315789
918,전북임실군,임실시장,법적단체,64,67,0.955223881
919,전북장수군,산서시장,법적단체,12,31,0.387096774
920,전북장수군,장계시장,법적단체,39,44,0.886363636
921,전북장수군,장수시장,법적단체,32,33,0.96969697
922,전북전주시,모래내시장(전주),법적단체,201,210,0.957142857
923,전북전주시,전주남부시장,법적단체,307,327,0.93883792
924,전북전주시,전주신중앙시장(신중앙시장),법적단체,167,168,0.994047619
925,전북전주시,전주중앙상가,법적단체,375,386,0.971502591
926,전북전주시,서부시장상점가(서부시장 통합),법적단체,119,150,0.793333333
927,전북정읍시,샘고을시장,법적단체,278,322,0.863354037
928,전북정읍시,신태인시장,법적단체,45,48,0.9375
929,전북정읍시,정읍연지시장(정읍제2시장),법적단체,30,47,0.638297872
930,전북진안군,진안고원시장,법적단체,68,68,1
931,전남강진군,강진읍시장,임의단체,71,84,0.845238095
932,전남강진군,마량5일시장,임의단체,60,78,0.769230769
933,전남강진군,병영5일시장,임의단체,,13,
934,전남고흥군,고흥전통시장,법적단체,107,121,0.884297521
935,전남고흥군,과역전통시장,법적단체,35,35,1
936,전남고흥군,녹동전통시장,법적단체,65,72,0.902777778
937,전남고흥군,도화전통시장,법적단체,0,14,0
938,전남고흥군,동강전통시장,법적단체,25,25,1
939,전남곡성군,곡성기차마을전통시장,법적단체,128,151,0.847682119
940,전남곡성군,석곡전통시장,법적단체,46,48,0.958333333
941,전남곡성군,옥과5일시장,법적단체,30,40,0.75
942,전남광양시,광양5일시장,법적단체,96,99,0.96969697
943,전남광양시,광양매일시장,법적단체,54,75,0.72
944,전남광양시,광영상설시장,법적단체,39,42,0.928571429
945,전남광양시,옥곡5일시장,법적단체,56,62,0.903225806
946,전남광양시,중마시장,법적단체,76,80,0.95
947,전남구례군,구례5일시장,법적단체,157,163,0.963190184
948,전남구례군,구례상설시장,법적단체,38,39,0.974358974
949,전남나주시,나주목사고을시장,법적단체,109,129,0.84496124
950,전남나주시,남평5일시장,법적단체,36,42,0.857142857
951,전남나주시,다시5일시장,임의단체,,24,
952,전남나주시,영산포풍물시장,법적단체,85,95,0.894736842
953,전남담양군,창평전통시장,법적단체,30,48,0.625
954,전남목포시,동부시장,법적단체,240,279,0.860215054
955,전남목포시,목포종합수산시장,법적단체,90,131,0.687022901
956,전남목포시,신중앙시장,법적단체,140,144,0.972222222
957,전남목포시,자유시장,법적단체,153,168,0.910714286
958,전남목포시,중앙먹통시장,법적단체,52,91,0.571428571
959,전남목포시,청호시장,법적단체,156,166,0.939759036
960,전남목포시,항동시장,법적단체,100,127,0.787401575
961,전남무안군,무안전통시장,법적단체,63,64,0.984375
962,전남무안군,일로전통시장,법적단체,10,14,0.714285714
963,전남보성군,녹차골보성향토시장(보성읍5일시장),법적단체,95,98,0.969387755
964,전남보성군,벌교5일시장,법적단체,50,57,0.877192982
965,전남보성군,벌교매일시장,법적단체,60,90,0.666666667
966,전남보성군,보성매일시장,법적단체,24,30,0.8
967,전남보성군,복내5일시장,임의단체,0,25,0
968,전남보성군,조성5일시장,임의단체,,25,
969,전남순천시,괴목시장,,,57,
970,전남순천시,순천시아랫장(순천아랫장),법적단체,189,206,0.917475728
971,전남순천시,승주시장,,,21,
972,전남순천시,역전시장,법적단체,200,202,0.99009901
973,전남순천시,웃장,법적단체,67,158,0.424050633
974,전남순천시,중앙시장,법적단체,17,32,0.53125
975,전남신안군,지도시장,법적단체,60,60,1
976,전남여수시,(주)서시장,법적단체,119,209,0.56937799
