지자체,시장명,시장면적,전체 점포 중 영업 중인 점포 수,빈점포,기타점포(창고 및 사무실 등 영업 이외의 목적으로 활용되고 있는 점포),노점수,점포상인 수 (종업원 제외) - 2019,종업원 수 (점포주 제외) - 2019,노점상인 수 (종업원 제외) - 2019,총시장 상인 - 2019,소방시설보유,보유여부 - 스프링클러,보유여부 - 소화전,보유여부 - 공용소화기,보유여부 - 경보기,보유여부 - 화재_가스감지센서,보유여부 - 화재알림시설(자동 화재속보 설비),보유율 - 개별점포 보유 소화기,보유여부 - CCTV,보유여부 - 공동화장실,보유여부 - 아케이드,보유여부 - 엘리베이터_에스컬레이터 (건물형만)
서울양천구,신월1동신영시장,4720,86,2,0,24,86,148,24,258,1,1,1,1,1,1,1,100,1,1,1,2
서울양천구,신월3동골목시장,834,16,5,0,0,16,0,0,16,1,1,1,1,1,1,2,100,1,1,2,2
서울양천구,신월7동골목시장,990,8,0,0,20,8,0,20,28,1,1,1,1,1,1,2,100,1,1,2,2
서울양천구,신정1동골목시장,1240,31,8,0,11,31,0,11,42,1,2,1,1,1,1,2,100,2,1,2,2
서울양천구,신정2동골목시장,850,58,3,0,2,58,4,2,64,1,1,1,1,1,1,2,100,2,1,1,2
서울양천구,우성상가시장,4994,8,1,0,0,8,100,0,108,1,1,1,1,1,1,1,100,1,1,2,1
서울양천구,월정로시장,2840,120,3,0,62,120,50,45,215,1,1,1,1,1,1,2,90,1,1,1,2
서울영등포구,대림중앙시장,19797,95,5,0,0,95,0,0,95,1,1,1,1,1,1,1,90,2,1,2,2
서울영등포구,대신시장,4609,120,56,0,0,120,0,0,120,1,1,1,1,1,1,1,100,1,1,2,2
서울영등포구,동남상가,1320,55,3,2,0,55,0,0,55,1,1,1,1,1,1,1,100,1,1,2,1
서울영등포구,삼구시장,1178,48,4,0,1,48,0,0,48,1,1,1,1,1,1,1,100,1,1,1,2
서울영등포구,영신상가,10324,86,13,0,0,86,10,0,96,1,1,1,1,1,1,1,100,1,1,1,1
서울영등포구,영일시장,1443,120,1,0,0,120,260,0,380,1,2,1,1,1,1,1,100,1,1,2,2
서울영등포구,영진시장(A동),2063,51,5,0,39,51,50,39,140,1,1,1,1,1,1,1,98,2,1,2,2
서울용산구,만리시장,3118,36,0,0,0,36,2,0,38,1,2,1,1,1,1,1,80,2,1,1,1
서울용산구,보광시장,1639,11,0,4,2,11,0,2,13,1,1,1,1,1,1,1,50,2,1,2,1
서울용산구,신흥시장,1000,60,1,1,0,60,4,0,64,1,2,1,1,1,1,1,80,2,1,2,2
서울용산구,용산용문시장,5081,146,3,2,1,146,20,1,167,1,2,1,1,1,1,1,80,1,1,2,2
서울용산구,이촌종합시장,5122,100,2,0,0,100,95,0,195,1,1,1,1,1,1,2,100,1,1,1,2
서울용산구,이태원시장,3729,102,3,0,3,102,250,3,355,1,1,1,1,1,1,1,100,1,1,1,1
서울용산구,후암시장,1800,50,3,0,0,50,70,3,123,1,2,1,1,2,2,2,100,1,1,1,2
서울은평구,대림골목시장,3000,76,3,1,2,76,22,2,100,1,2,1,1,1,2,2,100,2,1,2,2
서울은평구,대림시장,3320,63,3,0,12,63,0,10,73,1,2,1,1,1,1,1,80,1,1,1,2
서울은평구,대조시장,3903,105,3,0,79,105,83,79,267,1,2,1,1,2,2,2,60,2,1,1,2
서울은평구,신응암시장,2272,49,0,0,3,49,2,3,54,1,1,1,1,1,1,1,100,1,1,1,2
