사업명,시장명,지자체,행정동명,60대이상인구,1km_이내_주차장수,1km_이내_CCTV수,축제수,1km_이내_도시공원수,1km_이내_관광지수,배달빈도수,1.5km_이내_대규모점포수,1km_이내_버스정류장수,10~30대인구,1km_이내_대학수,실업률(％),1km_이내_문화시설
디지털전통시장,진보시장,경북청송군,진보면,2968,9,24,2.0,0,0.0,35307.0,0.0,28,1249,0,0.9,2
문화관광형시장,청송시장,경북청송군,청송읍,2185,9,36,2.0,1,0.0,35307.0,0.0,15,1138,0,0.9,2
문화관광형시장,왜관시장,경북칠곡군,왜관읍,9286,6,182,0.0,1,0.0,140477.0,0.0,37,9403,0,2.4,2
문화관광형시장,구룡포시장,경북포항시,구룡포읍,4153,4,23,2.0,0,0.0,622623.0,1.0,14,885,0,3.1,2
디지털전통시장,큰동해시장,경북포항시,해도동,7489,44,158,2.0,9,0.0,622623.0,4.0,47,3653,0,3.1,3
문화관광형시장,큰동해시장,경북포항시,해도동,7489,44,158,2.0,9,0.0,622623.0,4.0,47,3653,0,3.1,3
문화관광형시장,효자시장,경북포항시,효곡동,5597,9,57,2.0,8,0.0,622623.0,3.0,25,10591,0,3.1,2
청년몰활성화,1913송정역시장(송정역전매일시장),광주광산구,송정2동,2078,7,46,3.0,8,2.0,478213.0,0.0,39,2092,0,2.7,2
문화관광형시장,월곡시장,광주광산구,월곡1동,2511,3,60,3.0,49,3.0,478213.0,4.0,40,3691,0,2.7,16
문화관광형시장,무등시장,광주남구,주월2동,2790,5,0,11.0,5,1.0,261424.0,3.0,51,2231,0,3.2,18
문화관광형시장,봉선시장,광주남구,봉선1동,3860,3,0,11.0,13,0.0,261424.0,7.0,58,4383,0,3.2,18
문화관광형시장,남광주시장,광주동구,학동,2211,46,2,10.0,11,7.0,142272.0,8.0,59,2415,18,3.5,33
문화관광형시장,말바우시장,광주북구,우산동,4762,10,0,11.0,24,2.0,543619.0,8.0,43,4875,1,2.3,22
문화관광형시장,양동건어물시장,광주서구,양동,1717,45,1,6.0,8,7.0,372730.0,15.0,76,709,0,2.2,29
문화관광형시장,서남신시장,대구달서구,죽전동,3860,30,237,5.0,12,1.0,680567.0,4.0,98,4370,0,3.1,19
디지털전통시장,와룡시장,대구달서구,신당동,7504,13,134,5.0,18,0.0,680567.0,1.0,113,12400,1,3.1,12
문화관광형시장,와룡시장,대구달서구,신당동,7504,13,134,5.0,18,0.0,680567.0,1.0,113,12400,1,3.1,12
문화관광형시장,현풍백년도깨비시장,대구달성군,현풍읍,5218,6,82,3.0,4,0.0,298224.0,1.0,65,8853,0,2.2,3
청년몰활성화,현풍백년도깨비시장,대구달성군,현풍읍,5218,6,82,3.0,4,0.0,298224.0,1.0,65,8853,0,2.2,3
청년몰활성화,산격종합시장,대구북구,산격3동,2485,46,207,7.0,9,0.0,538866.0,9.0,94,4385,0,3.3,8
문화관광형시장,서변중앙시장,대구북구,무태조야동,7739,8,71,7.0,10,0.0,538866.0,0.0,53,11505,0,3.3,4
문화관광형시장,신매시장,대구수성구,고산1동,6778,12,196,6.0,12,0.0,480840.0,1.0,65,11193,0,2.2,3
문화관광형시장,약령시장,대구중구,성내2동,1512,116,299,115.0,5,16.0,104530.0,10.0,141,2055,7,2.8,60
청년몰활성화,약령시장,대구중구,성내2동,1512,116,299,115.0,5,16.0,104530.0,10.0,141,2055,7,2.8,60
디지털전통시장,신도시장,대전동구,가양2동,5426,24,111,4.0,8,1.0,308134.0,6.0,59,6768,2,2.4,10
문화관광형시장,신도시장,대전동구,가양2동,5426,24,111,4.0,8,1.0,308134.0,6.0,59,6768,2,2.4,10
청년몰활성화,중앙메가프라자,대전동구,중앙동,2139,54,90,4.0,5,9.0,308134.0,7.0,115,667,0,2.4,28
