사업명,지원연도,시장명,지원금액(단위_백만원),지자체,배송서비스,장보기서비스,행정동명,시장유형명,상점수,시장운영기간,추가설명,화장실존재여부,주차장존재여부,위치위도,위치경도,시군구시장수,시군구상점수,인구수,시설인구수,소방시설보유,보유여부 - 스프링클러,보유여부 - 소화전,보유여부 - 공용소화기,보유여부 - 경보기,보유여부 - 화재_가스감지센서,보유여부 - 화재알림시설(자동 화재속보 설비),보유율 - 개별점포 보유 소화기,보유여부 - CCTV,보유여부 - 공동화장실,보유여부 - 아케이드,보유여부 - 엘리베이터_에스컬레이터 (건물형만),시장면적,전체 점포 중 영업 중인 점포 수,빈점포,기타점포(창고 및 사무실 등 영업 이외의 목적으로 활용되고 있는 점포),노점수,점포상인 수 (종업원 제외) - 2019,종업원 수 (점포주 제외) - 2019,노점상인 수 (종업원 제외) - 2019,총시장 상인 - 2019,청년몰점포수,상인회 조직형태,상인회 가입점포 수 - 점포수,점포수,상인회_가입률,가맹점수,가맹률
문화관광형시장,2019,계산시장,460.0,인천계양구,1.0,1.0,계산1동,상설장,119.0,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,Y,37.5392795,126.7248527,3.0,363.0,229796.0,633.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,2.0,12429.0,110.0,2.0,0.0,20.0,110.0,100.0,18.0,228.0,,법적단체,115.0,119.0,0.9663865546218487,122.0,102.52100840336134
문화관광형시장,2021,계산시장,230.0,인천계양구,1.0,1.0,계산1동,상설장,119.0,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,Y,37.5392795,126.7248527,3.0,363.0,229796.0,633.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,2.0,12429.0,110.0,2.0,0.0,20.0,110.0,100.0,18.0,228.0,,법적단체,115.0,119.0,0.9663865546218487,122.0,102.52100840336134
문화관광형시장,2022,계산시장,225.0,인천계양구,1.0,1.0,계산1동,상설장,119.0,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,Y,37.5392795,126.7248527,3.0,363.0,229796.0,633.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,2.0,12429.0,110.0,2.0,0.0,20.0,110.0,100.0,18.0,228.0,,법적단체,115.0,119.0,0.9663865546218487,122.0,102.52100840336134
첫걸음기반조성,2018,계산시장,270.0,인천계양구,1.0,1.0,계산1동,상설장,119.0,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,Y,37.5392795,126.7248527,3.0,363.0,229796.0,633.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,2.0,12429.0,110.0,2.0,0.0,20.0,110.0,100.0,18.0,228.0,,법적단체,115.0,119.0,0.9663865546218487,122.0,102.52100840336134
문화관광형시장,2023,계양산전통시장,264.0,인천계양구,0.0,0.0,계양2동,상설장,124.0,매일,"농산물,수산물,의류/신발,음식점업,기타소매업",Y,Y,37.54845862,126.7392428,3.0,363.0,229796.0,633.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,98.0,1.0,1.0,1.0,2.0,3557.0,125.0,0.0,2.0,23.0,125.0,110.0,23.0,258.0,,법적단체,124.0,124.0,1.0,117.0,94.35483870967742
문화관광형시장,2023,고령대가야시장,210.0,경북고령군,1.0,1.0,대가야읍,5일장,105.0,4일+9일,"농산물,축산물,수산물,기타소매업",Y,Y,35.72730911,128.2666727,1.0,105.0,27063.0,257.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,80.0,1.0,1.0,1.0,2.0,7287.0,81.0,24.0,0.0,46.0,81.0,0.0,46.0,127.0,,법적단체,77.0,105.0,0.7333333333333333,95.0,90.47619047619048
문화관광형시장,2017,고령대가야시장,1520.0,경북고령군,1.0,1.0,대가야읍,5일장,105.0,4일+9일,"농산물,축산물,수산물,기타소매업",Y,Y,35.72730911,128.2666727,1.0,105.0,27063.0,257.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,80.0,1.0,1.0,1.0,2.0,7287.0,81.0,24.0,0.0,46.0,81.0,0.0,46.0,127.0,,법적단체,77.0,105.0,0.7333333333333333,95.0,90.47619047619048
문화관광형시장,2014,고산시장,1520.0,전북완주군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
문화관광형시장,2019,고성거진시장,440.0,강원고성군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
첫걸음기반조성,2018,고성거진시장,270.0,강원고성군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
문화관광형시장,2018,고성공룡시장,1000.0,경남고성시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
문화관광형시장,2023,고성시장,220.0,경남고성군,0.0,1.0,고성읍,상설장+5일장,320.0,1일+6일,"농산물,축산물,수산물,가공식품,기타소매업",Y,Y,34.97730013,128.3230484,4.0,489.0,41133.0,84.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,2.0,33058.0,300.0,20.0,0.0,100.0,300.0,30.0,100.0,430.0,,법적단체,282.0,320.0,0.88125,189.0,59.06249999999999
첫걸음기반조성,2018,고성시장,300.0,경남고성군,0.0,1.0,고성읍,상설장+5일장,320.0,1일+6일,"농산물,축산물,수산물,가공식품,기타소매업",Y,Y,34.97730013,128.3230484,4.0,489.0,41133.0,84.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,2.0,33058.0,300.0,20.0,0.0,100.0,300.0,30.0,100.0,430.0,,법적단체,282.0,320.0,0.88125,189.0,59.06249999999999
